Mandal,Village
Ghatanji,Pardi
Ghatanji,Pardi
Ghatanji,Pardi
Ghatanji,Pardi
Ghatanji,Pardi
Ghatanji,Pardi
Ghatanji,Pardi
Ghatanji,Pardi
Ghatanji,Pardi
Ghatanji,Pardi
Ghatanji,Pardi
Ghatanji,Pardi
Babulgaon,Pimpalgaon
Babulgaon,Pimpalgaon
Babulgaon,Pimpalgaon
Babulgaon,Pimpalgaon
Babulgaon,Pimpalgaon
Babulgaon,Pimpalgaon
Babulgaon,Pimpalgaon
Babulgaon,Pimpalgaon
Babulgaon,Pimpalgaon
Babulgaon,Pimpalgaon
Babulgaon,Pimpalgaon
Pusad,Bhojala
Mahagaon,Nehrunagar
Babulgaon,Wai
Babulgaon,Wai
Babulgaon,Wai
Babulgaon,Wai
Babulgaon,Wai
Babulgaon,Wai
Kalamb,Nagthana
Kalamb,Nagthana
Darwha,Gajipur
Darwha,Gajipur
Arni,Kurha
Arni,Kurha
Kelapur,Ghonsi
Arni,Sakhara
Arni,Sakhara
Arni,Sakhara
Arni,Sakhara
Wani,Shelu Kh
Mahagaon,Sawana
Maregaon,Godani
Ner,Umartha
Kelapur,Kegaon
Kelapur,Kegaon
Kelapur,Kegaon
Maregaon,Mardi
Kelapur,Chopan
Kelapur,Chopan
Pusad,Gahuli
Ghatanji,Mangi
Ghatanji,Mangi
Ghatanji,Mangi
Umarkhed,Amanpur
Pusad,Jamb Bajar
Kalamb,Belona
Darwha,Lakhkhind
Arni,Sendur Sani
Wani,Chikhalgaon
Pusad,Londari
Ralegaon,Takali
Ralegaon,Takali
Ralegaon,Takali
Ralegaon,Takali
Umarkhed,Hardada
Umarkhed,Ambali
Digras,Mahagaon
Digras,Mahagaon
Digras,Mahagaon
Pusad,Bansi
Umarkhed,Deosari
Umarkhed,Dhanki
Ner,Marwadi
Wani,Suknegaon
Wani,Lalguda
Umarkhed,Sukali (Jahagir )
Umarkhed,Pophali
Mahagaon,Weni Bk.
Digras,Kalgaon
Digras,Kalgaon
Mahagaon,Wadad
Mahagaon,Wadad
Darwha,Wagad Kh
Wani,Wani
Babulgaon,Zola
Babulgaon,Zola
Babulgaon,Zola
Ghatanji,Parwa
Ghatanji,Parwa
Arni,Warud
Arni,Warud
Arni,Warud
Arni,Warud
Arni,Warud
Arni,Warud
Arni,Warud
Maregaon,Net
Darwha,Pathrad (Devi)
Wani,Warzadi
Wani,Warzadi
Ghatanji,Dongargaon
Ghatanji,Dongargaon
Ghatanji,Dongargaon
Ghatanji,Dongargaon
Ghatanji,Dongargaon
Ghatanji,Dongargaon
Ghatanji,Dongargaon
Ghatanji,Dongargaon
Ghatanji,Dongargaon
Wani,Kona
Mahagaon,Kali (Tembhi)
Mahagaon,Tembhurdara
Mahagaon,Tembhurdara
Wani,Nandepera
Digras,Lakh Rayachi (R)
Umarkhed,Akoli
Kelapur,Akoli Kh
Umarkhed,Digras
Umarkhed,Digras
Wani,Ghonsa
Mahagaon,Januna
Mahagaon,Januna
Mahagaon,Januna
Umarkhed,Pimpri Diwat
Darwha,Kohala
Darwha,Kohala
Arni,Palashi
Arni,Palashi
Maregaon,Mhais Dodaka
Wani,Murdhoni
Mahagaon,Wakad Kh
Pusad,Chichghat
Mahagaon,Bori (Ijara)
Yavatmal,Tiwasa
Pusad,Shelu Bk
Pusad,Shelu Bk
Mahagaon,Sevadasnagar
Digras,Shiwani
Digras,Shiwani
Ghatanji,Sawangi
Ghatanji,Sawangi
Ghatanji,Sawangi
Ghatanji,Sawangi
Ghatanji,Sawangi
Arni,Amboda
Arni,Amboda
Umarkhed,Narali
Umarkhed,Ningnur Gahagir
Mahagaon,Kanha
Arni,Kopara
Darwha,Sawla
Arni,Jawala
Arni,Jawala
Arni,Jawala
Ralegaon,Lohara
Ralegaon,Lohara
Ralegaon,Lohara
Zari-Jamani,Gawara
Maregaon,Wegaon
Umarkhed,Vidul
Ghatanji,Maregaon
Ghatanji,Maregaon
Ghatanji,Maregaon
Ghatanji,Maregaon
Ghatanji,Maregaon
Mahagaon,Gunj
Babulgaon,Dehani
Babulgaon,Dehani
Umarkhed,Palshi
Darwha,Ganeshpur
Darwha,Ganeshpur
Darwha,Ganeshpur
Darwha,Ganeshpur
Darwha,Ganeshpur
Darwha,Ganeshpur
Darwha,Ganeshpur
Arni,Chikhali
Arni,Chikhali
Arni,Chikhali
Arni,Chikhali
Arni,Chikhali
Arni,Chikhali
Arni,Chikhali
Arni,Rani Dhanora
Mahagaon,Shirpulli
Kelapur,Gopalpur
Kelapur,Gopalpur
Kelapur,Gopalpur
Kelapur,Gopalpur
Kelapur,Karanwadi
Kelapur,Karanwadi
Kelapur,Padha
Kelapur,Pahapal
Kelapur,Pahapal
Ghatanji,Yevti
Ghatanji,Yevti
Ghatanji,Rasa
Ghatanji,Rasa
Ghatanji,Rasa
Yavatmal,Dighori
Arni,Sawali (Sa)
Pusad,Yeranda
Mahagaon,Warodi
Maregaon,Kolgaon
Maregaon,Kolgaon
